"player","fg.p","ft.p","3pm.p","reb.p","ast.p","stl.p","blk.p","pts.p","fg.r","ft.r","3pm.r","reb.r","ast.r","stl.r","blk.r","pts.r","ovr.r","pos.pg","pos.sg","pos.sf","pos.pf","pos.c","price","prim.pos","draft","value.y","cost.y","cost.g.o","ovr.r.ga.s","ovr.r.ga.a","ovr.r.ga.va","ovr.r.fa.s","ovr.r.fa.a","ovr.r.fa.va","cost.r.ga.s","cost.r.ga.a","cost.r.ga.va","cost.r.fa.s","cost.r.fa.a","cost.r.fa.va"
"James Harden",0.445,0.864,3.2,7,8.7,1.7,0.5,27.9,-0.81,2.6,3.79,2.2,5.89,2.5,0.47,3.73,20.37,FALSE,TRUE,FALSE,FALSE,FALSE,70.6,"SG",3,67,75,66.5723171670516,22.826,26.51,32.65,20.742,21.3,22.23,70.3886631206636,75.3685169228571,82.1396627739764,63.4789923720473,59.5121908414028,54.24111822947
"Russell Westbrook",0.437,0.843,1.9,8.9,9.7,2,0.3,26.4,-1.77,2.49,2.69,3.23,5.39,2.84,0.23,4.14,19.24,TRUE,FALSE,FALSE,FALSE,FALSE,75.5,"PG",2,67,76.8,62.8793020272004,21.354,24.525,29.81,19.578,20.085,20.93,65.849448535821,69.7251179755968,74.9948957823043,59.9166769192913,56.1174813638298,51.0691230113723
"Stephen Curry",0.488,0.909,4.5,4.7,6.8,2.1,0.2,25.5,0.47,2.51,4.9,0.66,3.04,3.14,-0.25,2.99,17.46,TRUE,FALSE,FALSE,FALSE,FALSE,58.3,"PG",6,67,72.5,57.0619861431871,19.55,22.685,27.91,17.636,17.9,18.34,60.2864437049405,64.4939572385897,70.2149460343547,53.9733636811024,50.0125923033385,44.7495325383932
"Karl-Anthony Towns",0.557,0.835,1,12.9,2.8,0.9,1.4,22.3,3.81,1.35,0.92,3.95,0.78,0.51,2.69,3.12,17.12,FALSE,FALSE,FALSE,FALSE,TRUE,59.1,"C",8,60,68.4,55.9508134462407,17.73,18.645,20.17,19.21,22.345,27.57,54.6740995850944,53.0081477942916,50.7429402190231,58.7904466043307,62.4319203920726,67.2706985868866
"Giannis Antetokounmpo",0.521,0.757,0.6,9.3,5.3,1.7,1.5,22.2,2.55,-0.06,-0.01,2.41,2.37,2.81,4.33,2.65,17.05,FALSE,FALSE,TRUE,TRUE,FALSE,71.7,"SF",1,61,73.8,55.7220425968694,17.51,18.2,19.35,18.908,21.695,26.34,53.9956843618163,51.743002942135,48.680014538329,57.8662032480315,60.6158206715603,64.2695031113018
"Anthony Davis",0.517,0.817,0.7,10.5,2.5,1.5,2.2,26.3,2.18,0.89,-0.17,3.33,0.31,1.67,4.88,3.2,16.29,FALSE,FALSE,FALSE,TRUE,FALSE,60.6,"PF",5,58,65.8,53.2382448036951,16.496,16.805,17.32,18.368,21.485,26.68,50.8688069236163,47.7769870572846,43.5730155970987,56.2135826771654,60.0290807618563,65.0991018606505
"Kawhi Leonard",0.487,0.862,1.9,6.6,3.3,1.9,0.9,21.5,1.14,2.81,1.74,1.05,1.07,2.87,1.05,2.77,14.49,FALSE,FALSE,TRUE,FALSE,FALSE,58.9,"SF",9,54,60.8,47.3555658198614,15.614,17.3,20.11,15.138,16.11,17.73,48.1489786193832,49.1842830164251,50.5919944375089,46.3284633366142,45.0113330730046,43.2611347822089
"Kevin Durant",0.524,0.885,2.3,7.9,4.8,1.1,1.3,25,2.74,2.15,1.21,1.46,1.37,0.82,2.55,2.08,14.38,FALSE,FALSE,TRUE,FALSE,FALSE,63.9,"SF",4,68,76.1,46.9960687708494,15.326,16.745,19.11,15.73,17.755,21.13,47.2608714180009,47.6064057289039,48.0762314122722,48.1402251476378,49.6074623656858,51.5571222756951
"Isaiah Thomas",0.455,0.891,2.2,2.7,5.2,1,0.2,20.7,0.26,4.03,3.49,-0.09,2.47,0.94,-0.38,3.4,14.12,TRUE,FALSE,FALSE,FALSE,FALSE,21.4,"PG",68,19,36.5,46.1463484731845,16.118,19.115,24.11,14.078,14.015,13.91,49.7031662218021,54.3443681999402,60.6550465384555,43.0844303641732,39.157903973815,33.940348833645
"John Wall",0.452,0.808,1.2,4.8,10.3,2,0.7,22.2,-0.28,0.75,0.71,0.52,5.32,3.6,0.85,2.6,14.06,TRUE,FALSE,FALSE,FALSE,FALSE,49.1,"PG",10,47,56.1,45.9502591737234,15.416,17.45,20.84,14.278,14.605,15.15,47.5384049184329,49.6107363373767,52.4285014459316,43.6965120570866,40.8063637201262,36.9659442724458
"LeBron James",0.525,0.706,1.5,7.4,7.5,1.4,0.6,22.8,3.8,-2.53,1.33,2.1,3.95,1.61,0.67,2.9,13.83,FALSE,FALSE,TRUE,TRUE,FALSE,56.5,"SF",7,53,58.6,45.1985835257891,14.38,15.205,16.58,15.144,17.115,20.4,44.3436859579051,43.2281516338002,41.7113509584235,46.3468257874016,47.8193026408737,49.7759249609171
"Jimmy Butler",0.473,0.85,1.1,5.6,4.9,1.8,0.4,20,-0.08,2.81,0.74,1.25,2.24,3.17,0.26,2.62,13.02,FALSE,TRUE,TRUE,FALSE,FALSE,37.1,"SG",18,41,43.6,42.5513779830639,14.178,15.915,18.81,13.306,13.735,14.45,43.7207774347134,45.2466973529714,47.3215025047012,40.7217950295276,38.3755840942097,35.2579468473163
"Rudy Gobert",0.604,0.647,0.1,12,1.6,0.8,2.4,14.1,4.67,-2.86,-0.88,4.09,-0.14,0.29,6.48,1.23,12.89,FALSE,FALSE,FALSE,FALSE,TRUE,44.7,"C",13,45,50.1,42.1265178342315,12.114,10.95,9.01,15.938,20.51,28.13,37.3560091581406,31.1310924294714,22.6670248573822,48.7767901082677,57.3049311810879,68.6370965269902
"Paul George",0.451,0.885,2.7,6.8,4.2,1.8,0.4,23.7,0.18,2.58,2.6,1.36,1.01,2.44,0.09,2.53,12.79,FALSE,FALSE,TRUE,FALSE,FALSE,35.7,"SF",19,40,47.2,41.7997023351296,14.028,15.885,18.98,13.116,13.605,14.42,43.2582216006601,45.161406688781,47.7491822189915,40.1403174212598,38.0123641501073,35.1847469576679
"DeMarcus Cousins",0.472,0.766,1.3,10.9,4.1,1.6,1.3,24.4,-0.24,-0.01,1.46,2.88,1.61,1.86,2.35,2.88,12.78,FALSE,FALSE,FALSE,FALSE,TRUE,43.1,"C",14,46,51,41.7670207852194,13.392,14.31,15.84,13.778,15.275,17.77,41.2969848642743,40.6836468187886,39.8496863197484,42.1663078248031,42.6783434320389,43.3587346350734
"Damian Lillard",0.438,0.892,2.9,4.4,6.6,1.1,0.3,24.6,-0.59,3.26,2.94,0.73,2.41,0.88,-0.15,3.05,12.53,TRUE,FALSE,FALSE,FALSE,FALSE,36.8,"PG",17,40,43.1,40.9499820374647,14.252,16.835,21.14,12.528,12.525,12.52,43.9489716461797,47.8622777214749,53.1832303535026,38.3407972440945,34.9948446144868,30.5487539466021
"CJ McCollum",0.465,0.88,2.7,3.5,4.1,1.2,0.4,21.7,1.01,2.39,2.42,0.34,1.26,1,0.61,2.66,11.68,TRUE,TRUE,FALSE,FALSE,FALSE,32.3,"PG",20,28,30.6,38.1720502950988,12.894,14.715,17.75,12.072,12.66,13.64,39.7612994952175,41.8350707853581,44.6547936979504,36.945250984252,35.3720345564394,33.2815498268093
"Nikola Jokic",0.562,0.813,0.7,10,5.2,1.2,0.8,17.7,3.6,0.74,-0.08,2.5,1.81,0.66,1.05,1.4,11.68,FALSE,FALSE,FALSE,TRUE,TRUE,45.3,"PF",11,49,52.9,38.1720502950988,12.174,12.915,14.15,13.11,15.255,18.83,37.5410314917619,36.7176309339381,35.5980468070985,40.1219549704724,42.6224634406385,45.9451307359838
"Kyrie Irving",0.471,0.906,2.3,3.6,5.5,1.4,0.3,23,0.67,2.48,2.28,0.04,2.25,1.34,-0.01,2.62,11.66,TRUE,FALSE,FALSE,FALSE,FALSE,39.3,"PG",12,47,48.6,38.1066871952784,13.062,15.165,18.67,11.8,12.01,12.36,40.2793620293572,43.1144307482131,46.9692956811681,36.1128198818898,33.5559348359271,30.1583545351439
"Myles Turner",0.51,0.823,0.5,8.2,1.8,1,2.1,17.1,1.62,0.64,-0.17,1.85,-0.07,1.03,5.08,1.3,11.28,FALSE,FALSE,FALSE,TRUE,TRUE,26.1,"PF",26,29,31.5,36.8647882986913,11.36,11.48,11.68,12.99,15.555,19.83,35.030895165633,32.6378941635006,29.384112134764,39.7547059547244,43.4606633116441,48.3851270575974
"Kemba Walker",0.432,0.846,2.5,3.6,5.6,1.4,0.3,21,-0.6,1.49,3.4,0.43,2.37,1.4,-0.08,2.65,11.06,TRUE,FALSE,FALSE,FALSE,FALSE,29.5,"PG",22,34,36.3,36.1457942006672,12.512,14.69,18.32,11.01,10.935,10.81,38.5833239711619,41.7639952318661,46.0887786223353,33.6950971948819,30.5523852981568,26.3763602366429
"Draymond Green",0.456,0.708,1.3,8.1,6.2,1.8,1.2,11.5,-0.92,-0.83,0.56,1.9,3.11,3.51,2.79,0.48,10.6,FALSE,FALSE,TRUE,TRUE,FALSE,28.9,"SF",23,37,39.7,34.6424429047986,11.168,12.02,13.44,11.354,12.485,14.37,34.4388236980448,34.1731261189265,33.8118550591805,34.7478777066929,34.8830846316861,35.0627471415872
"Chris Paul",0.473,0.897,1.9,4.4,9.3,2,0.1,18.1,0.53,1.87,1.33,0.41,3.33,2.44,-0.56,1.16,10.51,TRUE,FALSE,FALSE,FALSE,FALSE,41.7,"PG",15,47,47.8,34.3483089556069,11.816,13.775,17.04,10.586,10.7,10.89,36.4370649011548,39.162629974061,42.8686019500324,32.3974840059055,29.8957953992023,26.5715599423719
"Jeff Teague",0.454,0.854,1.2,3.8,7.9,1.6,0.5,15.5,-0.47,2.1,0.72,0.55,3.89,1.89,0.26,1.47,10.42,TRUE,FALSE,FALSE,FALSE,FALSE,15.6,"PG",43,17,18.3,34.0541750064152,11.762,13.775,17.13,10.488,10.59,10.76,36.2705448008957,39.162629974061,43.0950206223037,32.0975639763779,29.5884554465003,26.2543604205622
"Marc Gasol",0.466,0.819,0.9,7.4,4.2,1,1.4,17.5,0.05,1.23,0.97,1.21,1.65,0.85,2.55,1.86,10.38,FALSE,FALSE,FALSE,FALSE,TRUE,21.5,"C",33,25,26,33.9234488067744,11.15,12.305,14.23,11.142,12.285,14.19,34.3833169979584,34.9833874287347,35.7993078491174,34.0990711122047,34.3242847176823,34.6235478036968
"Hassan Whiteside",0.553,0.635,0,14.1,0.9,0.8,2.7,16.3,3.29,-2.84,-0.88,4.36,-0.44,0.54,4.71,1.58,10.32,FALSE,FALSE,FALSE,TRUE,TRUE,39.9,"PF",16,37,41.1,33.7273595073133,9.488,8.24,6.16,12.792,16.5,22.68,29.2581983566484,23.4265024309447,15.4971002354577,39.1487450787402,46.100992905312,55.3391165741961
"Bradley Beal",0.471,0.818,2.7,3.6,3.8,1.3,0.3,22.1,1.02,1.01,3.1,0.09,1.13,1.34,-0.11,2.54,10.11,FALSE,TRUE,FALSE,FALSE,FALSE,27.4,"SG",27,25,26.6,33.0410469591994,11.158,12.73,15.35,10.31,10.61,11.11,34.4079866424412,36.1916718380977,38.6169624373825,31.552811269685,29.6443354379006,27.1083591331269
"Klay Thompson",0.478,0.863,3.4,3.6,2.5,0.9,0.6,21.5,0.46,1.1,3.9,0.32,0.33,0.82,0.54,2.47,9.92,FALSE,TRUE,FALSE,FALSE,FALSE,26.3,"SG",24,27,30.8,32.4200975109058,10.986,12.585,15.25,10.184,10.58,11.24,33.8775892860602,35.7794336278445,38.3653861348588,31.1671998031496,29.5605154508001,27.4255586549367
"Brook Lopez",0.483,0.811,0.9,6.2,2,0.7,1.5,18.2,0.62,0.77,1.51,0.91,0.45,-0.04,3.41,2.05,9.68,FALSE,FALSE,FALSE,FALSE,TRUE,16,"C",45,20,21.8,31.6357403130613,10.226,11.045,12.41,10.668,12.15,14.62,31.5339730601904,31.4011795327407,31.2206191431867,32.6484375,33.9470947757298,35.6727462219906
"Mike Conley",0.452,0.863,2,3.8,5.8,1.4,0.3,18.5,0.07,1.75,2.17,0.1,2.36,1.61,-0.18,1.8,9.68,TRUE,FALSE,FALSE,FALSE,FALSE,24,"PG",32,32,30.3,31.6357403130613,10.936,12.82,15.96,9.678,9.675,9.67,33.7234040080424,36.4475438306687,40.1515778827768,29.6186331200787,27.031945839933,23.5947644300034
"Otto Porter Jr.",0.492,0.812,1.8,5.9,1.8,1.5,0.5,13.1,1.65,0.48,1.76,1.47,0.04,2.35,0.61,1.1,9.45,FALSE,FALSE,TRUE,FALSE,FALSE,16.2,"SF",44,21,19.5,30.884064665127,9.906,10.59,11.73,10.196,11.315,13.18,30.5471872808768,30.1076044591874,29.5099002860258,31.2039247047244,31.614105134764,32.1591515188671
